# x; y; yerror
      2500  0.0085628 1.7641e-05 
      3000   0.017893 5.0895e-05 
      3500   0.040311 0.00023048 
      4000   0.090961 0.00053785 
      4500    0.18705  0.0013168 
      5000    0.38163  0.0013223 
      5500    0.69373  0.0064359 
      6000     1.2585   0.005471 
      6500     2.0783   0.018991 
      7000     3.3663   0.038393 
