# x; y; yerror
      2500  0.0058998 3.9155e-05 
      3000   0.012555 8.1991e-05 
      3500   0.028272 0.00033047 
      4000     0.0629 0.00030526 
      4500    0.13065 0.00054849 
      5000     0.2617  0.0020635 
      5500    0.47478  0.0020457 
      6000    0.86985   0.010553 
      6500     1.4263   0.017969 
      7000     2.4318   0.025405 
