# x; y; yerror
      2500  0.0061682 6.3384e-05 
      3000   0.012923 0.00014512 
      3500   0.029026  0.0005148 
      4000   0.063202 0.00037276 
      4500    0.13621  0.0010743 
      5000    0.26407  0.0012415 
      5500    0.49603   0.002777 
      6000    0.87452  0.0058754 
      6500     1.4635   0.020173 
      7000     2.4264   0.027549 
